place_id,name,google_name,address,catchment,lat,lng,rating,review_count,price_level,price_label,website,phone,open_days,open_from,open_until,weekday_hours,scraped_at
ChIJl5iaDKVn1moRnvGY8cGzudM,Baba's Deli,Baba’s Deli,"295 Bay St, Port Melbourne VIC 3207, Australia",South Melbourne,-37.8369199,144.9435438,4.9,409,,—,https://www.babasdeli.com/,0422 088 295,7,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: 7:00 AM – 3:00 PM,2026-04-01T14:00:10.564574
ChIJpyHDUQBn1moRIForqRE1KRA,JUJU's Deli,JUJU’S DELI SOUTH MELBOURNE,"249 Coventry St, South Melbourne VIC 3205, Australia",South Melbourne,-37.832137,144.9596709,4.0,143,,—,https://www.instagram.com/jujus_deli/?hl=en,,7,8:00 AM,2:30 PM,Monday: 8:00 AM – 2:30 PM | Tuesday: 8:00 AM – 2:30 PM | Wednesday: 8:00 AM – 2:30 PM | Thursday: 8:00 AM – 2:30 PM | Friday: 8:00 AM – 2:30 PM | Saturday: 8:00 AM – 2:30 PM | Sunday: 8:00 AM – 2:30 PM,2026-04-01T14:00:10.903897
ChIJrc_-G2Nn1moRDaQFZXBsUfc,Deli Boy,Deli Boy,"182 York St, South Melbourne VIC 3205, Australia",South Melbourne,-37.8317057,144.9557536,4.6,154,,—,,,7,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: 7:00 AM – 3:00 PM,2026-04-01T14:00:11.301539
ChIJFwAfkgtD1moR_5JI0wN_i2c,Hugo's Deli,Hugo's Deli,"119 Swan St, Richmond VIC 3121, Australia",Richmond,-37.825212,144.995176,4.6,420,2.0,$$,http://hugosdeli.com.au/,,7,7:00 AM,2:30 PM,Monday: 7:00 AM – 2:30 PM | Tuesday: 7:00 AM – 2:30 PM | Wednesday: 7:00 AM – 2:30 PM | Thursday: 7:00 AM – 2:30 PM | Friday: 7:00 AM – 2:30 PM | Saturday: 7:00 AM – 2:30 PM | Sunday: 7:00 AM – 2:30 PM,2026-04-01T14:00:11.591273
ChIJVU7B_URD1moRGjsz348PpZc,Warkop Richmond,Warkop Richmond - Coffee & Sandwich,"12 Risley St, Richmond VIC 3121, Australia",Richmond,-37.8132637,144.9994925,4.7,227,,—,https://www.warkop.com.au/,(03) 9939 9678,6,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: Closed,2026-04-01T14:00:11.918084
ChIJBebCsFhD1moRIc4J6LzI0lY,Nico's Deli Fitzroy,Nico's Sandwich Deli,"100 Kerr St, Fitzroy VIC 3065, Australia",Fitzroy,-37.796903,144.9790298,4.5,712,,—,https://www.nicos.melbourne/,,7,8:00 AM,3:00 PM,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,2026-04-01T14:00:12.220249
ChIJZxJITN9C1moREYQdvcj7Spc,Alimentari,Alimentari Delicatessen,"251 Brunswick St, Fitzroy VIC 3065, Australia",Fitzroy,-37.7997186,144.9780663,4.3,617,2.0,$$,https://alimentari.com.au/,(03) 9416 2001,7,8:00 AM,4:00 PM,Monday: 8:00 AM – 4:00 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,2026-04-01T14:00:12.519064
ChIJ5f6E0MND1moRP8oSQ1kKzrM,Stefanino Panino,Stefanino Panino e Vino,"Collingwood Yards, Unit 4/30 Perry St, Collingwood VIC 3066, Australia",Fitzroy,-37.799827,144.9856525,4.9,295,,—,http://stefaninopanino.com/,,6,9:00 AM,3:00 PM,"Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM, 4:00 – 10:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM",2026-04-01T14:00:12.899073
ChIJW2qo2N5C1moR35xqWFq7hG8,Smith + Deli,Smith + Deli,"107 Cambridge St, Collingwood VIC 3066, Australia",Fitzroy,-37.80427630000001,144.9854776,4.6,1259,2.0,$$,http://www.smithanddeli.com/,(03) 9123 1711,6,9:00 AM,3:00 PM,Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,2026-04-01T14:00:13.219095
ChIJxd1CDwBD1moR1cWFAfJVf_0,Carlito's,Carlito's,"32 Stanley St, Collingwood VIC 3066, Australia",Fitzroy,-37.8020147,144.9851284,4.8,145,,—,https://www.instagram.com/carlitos.collingwood?igsh=NGRtbzdnZTlzNXA3,,5,10:00 AM,3:00 PM,Monday: Closed | Tuesday: Closed | Wednesday: 10:00 AM – 3:00 PM | Thursday: 10:00 AM – 3:00 PM | Friday: 10:00 AM – 3:00 PM | Saturday: 10:00 AM – 3:00 PM | Sunday: 10:00 AM – 3:00 PM,2026-04-01T14:00:13.518474
ChIJ4RKJE4FD1moRPGKruIcx1jU,Hi Fi By Terror Twilight,Hi Fi By Terror Twilight,"316 Smith St, Collingwood VIC 3066, Australia",Fitzroy,-37.799668,144.984373,4.5,173,,—,https://www.hificollingwood.com.au/,,7,8:00 AM,3:00 PM,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,2026-04-01T14:00:13.816144
ChIJtVE1IQBd1moRaNAuqm9w_cM,FOC,FOC,"423 Little Collins St, Melbourne VIC 3000, Australia",CBD,-37.816228,144.960624,4.6,157,,—,,0424 252 430,5,8:00 AM,3:00 PM,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,2026-04-01T14:00:14.113749
ChIJiwCR_ftD1moRuSJbwgoyoCk,Nico's CBD (Stamford),Nico's Sandwich Deli (Stamford Hotel),"111 Little Collins St, Melbourne VIC 3000, Australia",CBD,-37.8135512,144.9699174,4.6,34,,—,https://www.nicos.melbourne/,,5,8:00 AM,2:00 PM,Monday: 8:00 AM – 2:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 2:00 PM | Thursday: 8:00 AM – 2:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed,2026-04-01T14:00:14.418034
ChIJibBMim9p1moR0tGFrSgz3ak,Sloppy Joe's,Sloppy Joe's Deli,"Shop 2/190 Queen St, Melbourne VIC 3000, Australia",CBD,-37.8140521,144.9605932,4.5,739,2.0,$$,https://www.facebook.com/Sloppyjoesdeli?mibextid=ZbWKwL,0493 080 659,7,7:30 AM,3:30 PM,Monday: 7:30 AM – 3:30 PM | Tuesday: 7:30 AM – 3:30 PM | Wednesday: 7:30 AM – 3:30 PM | Thursday: 7:30 AM – 3:30 PM | Friday: 7:30 AM – 3:30 PM | Saturday: 9:00 AM – 3:30 PM | Sunday: 9:00 AM – 3:30 PM,2026-04-01T14:00:14.718592
ChIJPZ_b6NJD1moRMeVrtzhvn38,Lil Lane,Lil Lane,"51 Queen St, Melbourne VIC 3000, Australia",CBD,-37.8177203,144.9617585,4.6,125,,—,https://lillane.com.au/,,5,8:30 AM,3:00 PM,Monday: 8:30 AM – 3:00 PM | Tuesday: 8:30 AM – 3:00 PM | Wednesday: 8:30 AM – 3:00 PM | Thursday: 8:30 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,2026-04-01T14:00:15.008190
ChIJ9xtdDt1d1moRMQowO55_ohk,Nico's Healeys Lane,Nico's Sandwich Deli,"Healeys Ln, Melbourne VIC 3000, Australia",CBD,-37.8132427,144.9557721,4.5,283,,—,https://www.nicos.melbourne/,,5,10:00 AM,2:00 PM,Monday: 10:00 AM – 2:00 PM | Tuesday: 10:00 AM – 2:00 PM | Wednesday: 10:00 AM – 2:00 PM | Thursday: 10:00 AM – 2:00 PM | Friday: 10:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed,2026-04-01T14:00:15.308054
ChIJZTQuC7Rp1moRxL1EwSA_Nl8,pip's deli,pip's deli,"348 Chapel St, South Yarra VIC 3141, Australia",South Yarra,-37.8467317,144.9942783,4.7,137,,—,,,7,8:00 AM,4:00 PM,Monday: 8:00 AM – 4:00 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 4:00 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,2026-04-01T14:00:15.592167
ChIJbVI55YxD1moREP1D6lCeBO8,Warung Coffee,Warung Coffee,"667 Chapel St, South Yarra VIC 3141, Australia",South Yarra,-37.83633630000001,144.995991,4.8,322,,—,https://www.instagram.com/warungcoffeemelbourne/,,7,7:00 AM,3:00 PM,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:30 AM – 3:00 PM | Sunday: 7:30 AM – 3:00 PM,2026-04-01T14:00:15.877093
ChIJxfLvCXlD1moR2M9bHLz8kCc,Chubby Toast,Chubby Toast,"7 Claremont St, South Yarra VIC 3141, Australia",South Yarra,-37.8381775,144.9935025,4.9,57,,—,,(03) 9008 4582,7,9:30 AM,5:00 PM,Monday: 9:30 AM – 5:00 PM | Tuesday: 9:30 AM – 5:00 PM | Wednesday: 9:30 AM – 5:00 PM | Thursday: 9:30 AM – 5:00 PM | Friday: 9:30 AM – 5:00 PM | Saturday: 9:30 AM – 5:00 PM | Sunday: 9:30 AM – 5:00 PM,2026-04-01T14:00:16.174993
ChIJQdFa7oFD1moRu4CK8CvhXbs,Pickles Milk Bar,Pickles Milk Bar,"1008 Lygon St, Carlton North VIC 3054, Australia",Carlton,-37.782171,144.9703165,4.9,280,,—,https://picklesmilkbar.square.site/,,6,9:00 AM,3:00 PM,Monday: Closed | Tuesday: 9:00 AM – 3:00 PM | Wednesday: 9:00 AM – 3:00 PM | Thursday: 9:00 AM – 3:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,2026-04-01T14:00:16.468656
